delta,diferenca
0.01,1.010000000000001
0.0001,1.0000999999998899
1e-06,1.0000009999177333
1e-08,1.0000000039225287
1e-10,1.000000082840371
1e-12,1.0000889005833413
1e-14,0.9992007221626509
